     t      mass       XCG       Ixx       Iyy         p    TF_sea TF_vacuum     dm/dt
     s        kg         m    kg-m^2    kg-m^2  kgf/cm^2       kgf       kgf    kg/sec
  2.01    558.63      2.62     11.08    695.22    183.28  10930.62  11199.56     42.04
  2.02    558.20      2.62     11.07    694.83    183.47  10942.24  11211.23     42.09
  2.03    557.77      2.61     11.06    694.44    183.65  10953.86  11222.89     42.13
  2.04    557.34      2.61     11.06    694.05    183.84  10965.48  11234.56     42.18
  2.05    556.90      2.61     11.05    693.66    184.02  10977.10  11246.22     42.22
  2.06    556.47      2.61     11.04    693.26    184.21  10988.72  11257.89     42.27
  2.07    556.04      2.61     11.04    692.87    184.39  11000.34  11269.55     42.31
  2.08    555.60      2.61     11.03    692.48    184.58  11011.96  11281.22     42.36
  2.09    555.17      2.61     11.02    692.08    184.76  11023.58  11292.88     42.40
  2.10    554.73      2.61     11.02    691.69    184.95  11035.20  11304.55     42.45
  2.11    554.30      2.61     11.01    691.29    185.13  11046.82  11316.21     42.49
  2.12    553.86      2.61     11.00    690.90    185.32  11058.44  11327.88     42.54
  2.13    553.42      2.61     11.00    690.50    185.50  11070.06  11339.54     42.58
  2.14    552.99      2.61     10.99    690.11    185.69  11081.68  11351.21     42.63
  2.15    552.55      2.61     10.98    689.71    185.87  11093.30  11362.87     42.67
  2.16    552.11      2.61     10.98    689.31    186.06  11104.92  11374.54     42.72
  2.17    551.67      2.61     10.97    688.92    186.24  11116.54  11386.20     42.76
  2.18    551.23      2.61     10.96    688.52    186.43  11128.16  11397.87     42.81
  2.19    550.79      2.61     10.96    688.12    186.61  11139.78  11409.53     42.85
  2.20    550.35      2.61     10.95    687.72    186.80  11151.40  11421.20     42.90
  2.21    549.91      2.61     10.94    687.32    186.98  11163.02  11432.86     42.94
  2.22    549.47      2.61     10.94    686.92    187.17  11174.64  11444.53     42.99
  2.23    549.03      2.61     10.93    686.52    187.35  11186.26  11456.19     43.03
  2.24    548.59      2.61     10.92    686.12    187.54  11197.88  11467.86     43.08
  2.25    548.15      2.61     10.92    685.72    187.72  11209.50  11479.52     43.12
  2.26    547.71      2.60     10.91    685.32    187.91  11221.12  11491.19     43.17
  2.27    547.26      2.60     10.90    684.92    188.09  11232.74  11502.85     43.21
  2.28    546.82      2.60     10.89    684.52    188.28  11244.36  11514.52     43.26
  2.29    546.37      2.60     10.89    684.11    188.46  11255.98  11526.18     43.30
  2.30    545.93      2.60     10.88    683.71    188.65  11267.60  11537.85     43.35
  2.31    545.49      2.60     10.87    683.31    188.83  11279.22  11549.51     43.39
  2.32    545.04      2.60     10.87    682.90    189.02  11290.84  11561.18     43.44
  2.33    544.59      2.60     10.86    682.50    189.20  11302.46  11572.84     43.48
  2.34    544.15      2.60     10.85    682.10    189.39  11314.08  11584.51     43.53
  2.35    543.70      2.60     10.85    681.69    189.57  11325.70  11596.17     43.57
  2.36    543.25      2.60     10.84    681.29    189.76  11337.32  11607.84     43.62
  2.37    542.81      2.60     10.83    680.88    189.94  11348.94  11619.50     43.66
  2.38    542.36      2.60     10.83    680.47    190.13  11360.56  11631.17     43.71
  2.39    541.91      2.60     10.82    680.07    190.31  11372.18  11642.83     43.75
  2.40    541.46      2.60     10.81    679.66    190.50  11383.80  11654.50     43.80
  2.41    541.01      2.60     10.81    679.25    190.68  11395.42  11666.16     43.84
  2.42    540.56      2.60     10.80    678.84    190.87  11407.04  11677.83     43.89
  2.43    540.11      2.60     10.79    678.44    191.05  11418.66  11689.49     43.93
  2.44    539.66      2.60     10.79    678.03    191.24  11430.28  11701.16     43.98
  2.45    539.21      2.60     10.78    677.62    191.42  11441.90  11712.82     44.02
  2.46    538.76      2.60     10.77    677.21    191.61  11453.52  11724.49     44.07
